chapter_name,section_name,subsection_name,block_type,block_content
Probability,Set Theory,,definition,"[Countable Union/Intersection]
Let $\{A_i\}_{i\in\mathbb{N}}$ be a countable collection of subsets of $\mathcal{S}$.
\\
The \textbf{union} of $\{A_i: i \in \mathbb{N}\}$ is defined as \begin{align*}
\bigcup_{i\in \mathbb{N}}A_i &:=\{x : x\in A_i \;\text{ for some }\; i  \in \mathbb{N}\}
\end{align*}
The \textbf{intersection} of $\{A_i: i \in \mathbb{N}\}$  is defined as \begin{align*}
\bigcap_{i\in \mathbb{N}}A_i&=\{x : x\in A_i\; \text{ for all }\; i \in \mathbb{N}\}
\end{align*}"
Probability,Set Theory,Axioms of Probability,general description,"Let $\mathcal{S}$ be the sample space of an experiment and let $E\subset \mathcal{S}$ be and event. We are interested in assigning a number to $E$ that quantifies the chance/probability that $E$ occurs. We will denote the probability of $E$ as $P(E)$.
\\
The mathematical procedure to assign probabilities to events is to define a function on the ""event space"". Assigning probabilities to every possible event can be tedious, and in some case it might not be possible. As a result, we will first need to identify a collection of events that we consider ""interesting"" and to which we want to assign probabilities. Such a collection of events is called a ""sigma algebra""."
Probability,Set Theory,Axioms of Probability,definition,"[Sigma Algebra]
Let $\mathcal{S}$ be a sample space of an experiment. A collection, $\mathcal{B}$, of subset of $\mathcal{S}$ is called a \textbf{sigma algebra} is it satisfies the following conditions:
\begin{enumerate}
    \item $\emptyset \in \mathcal{B}$
    \item If $A \in \mathcal{B}$, then $A^c \in \mathcal{B}$
    \item If $\{A_i: i \in \mathbb{N}\}$ is countable collection such that $A_i \in \mathcal{B}$ for all $i$, then $\bigcup_{i\in \mathbb{N}}A_i \in \mathcal{B}$
\end{enumerate}"
Probability,Set Theory,Axioms of Probability,general description,"Note that there are multiple sigma algebras that can be associated to a sample space. The trivial sigma algebra is $\{\emptyset, \mathcal{S}\}$ - the smallest possible sigma algebra. The power set $\mathcal{P}(\mathcal{S})$ of $\mathcal{S}$ also satisfies the axioms to be a sigma algebra, and this is the largest possible sigma algebra associated to $\mathcal{S}$. All other sigma algebra are somewhere in between these two extreme examples. We can use sub-setting as a natural way to define a partial order on all possible sigma algebras. 
\\

A probability function assigns probabilities to events in the sigma algebra as follows."
Probability,Set Theory,Axioms of Probability,definition,"[Probability Function]
    Consider the pair $(\mathcal{S}, \mathcal{B})$, where $\mathcal{S}$ is the sample space of an experiment and $\mathcal{B}$ is a sigma algebra associated to $\mathcal{S}$. 
    \\
    A probability function for the pair $(\mathcal{S}, \mathcal{B})$, is a function 
    $$P: \mathcal{B} \longrightarrow \mathbb{R}$$
    satisfying the following axioms:
    \begin{enumerate}
    \item (finite measure) $P(\mathcal{S})=1$
    \item (positivity) $P(A)\geq 0$ for all $A \in \mathcal{B}$
    \item (countable additivity) For $A_1,A_2,A_3,\cdots$, the collection of pairwise disjoint subsets of $\mathcal{S}$ in $\mathcal{B}$, we must have
    $$P\left(\bigcup_{i\in \mathbb{N}}A_i\right)=\sum_{i=1}^{\infty}P(A_i)$$ 
    \end{enumerate}"
Probability,Set Theory,Axioms of Probability,theorem,"[Properties of a Probability Function]
Suppose $P$ is a probability function.
\begin{enumerate}[itemsep=0pt, topsep=1pt, partopsep=0pt,label=(\roman*)]
\item $P(\emptyset)=0$
\item If $A \subset B$, then $P(A)\le P(B)$
\item $P(A^c)=1-P(A)$
\item $P(A\setminus B)=P(A)-P(A\cap B)$
\item $P(A\cup B) =P(A)+P(B)-P(A\cap)B$
\end{enumerate}"
Probability,Set Theory,Axioms of Probability,general description,"Defining a probability function can often times be a tedious task, as the number of conditions needed to be checked grow exponentially (as a function of the sigma algebra). 
\\
When the sample space $\mathcal{S}$ is countable, it is possible to define a probability function on the power set of $\mathcal{S}$ using the following theorem."
Probability,Set Theory,Axioms of Probability,theorem,"Suppose the sample space of an experiment is countable, listed as, $\mathcal{S} = \{s_i\}_{i\in \mathbb{N}} = \{s_1, s_2, s_3, \dots, \}$. Let $\mathcal{B}:=\mathcal{P}(\mathcal{S})$ be the powerset of $\mathcal{S}$. 
    \\
    Suppose $\{p_i\}_{i\in \mathbb{N}}$ is a sequence of real numbers satisfying:
    $$ p_i \ge 0 \quad \forall i, \quad \quad \sum_{i=1}^\infty p_i = 1$$
    define $P:\mathcal{B} \rightarrow [0,1]$
    as follows:
    \begin{enumerate}
        \item For any $s_i \in \mathcal{S}$, $$P(\{s_i\}) = p_i$$
        \item For any $E \in \mathcal{B}$
        $$P(E) = \sum_{s\in E} P(\{s\})$$
    \end{enumerate}
    The function $P$ defines a probability function on $\mathcal{B}$."
Probability,Set Theory,Axioms of Probability,general description,"Using the theorem above, we can assign probability functions experiments with countable sample space, by assigning probabilities just to the simple events."
Probability,Set Theory,Axioms of Probability,example,"Consider the experiment consisting of tossing a coin two times. The sample space is $S = \{HH, HT, TH, TT\}$. Take the largest possible sigma algebra, that is the power set of $S$, denoted as $\mathcal{P}(S)$, which contains $|\mathcal{P}(S)| = 2^4 = 16$ elements. In this experiment, if the coin is a fair coin, we can assign the following probability function $P: \mathcal{P}(S)\to \R$:
\begin{center}
\begin{tabular}{|c|c|}
\hline \rowcolor{lightgray}
\textbf{event $E$} & $P(E)$\\
\hline
$\emptyset$ & 0 \\
\hline
$\{HH\}$ & 1/4\\
\hline
$\{HT\}$ & 1/4\\
\hline
$\{TT\}$ & 1/4\\
\hline
$\{TH\}$ & 1/4\\
\hline
$\{HH, HT\}$ & 1/4+1/4 = 1/2\\
\hline
\vdots & \vdots \\
\hline
$\{HH, HT, TH\}$ & 1/4+1/4+1/4 = 3/4\\
\hline 
\vdots & \vdots \\
\hline
$\{HH, HT, TH, TT\}$ & 1\\
\hline
\end{tabular}\,.
\end{center}
In the case where the coin is not a fair coin, the probability function can be defined in the following way:
\begin{center}
\begin{tabular}{|c|c|}
\hline \rowcolor{lightgray}
\textbf{event $E$} & $P(E)$\\
\hline
$\emptyset$ & 0 \\
\hline
$\{HH\}$ & 1/3\\
\hline
$\{HT\}$ & 1/3\\
\hline
$\{TT\}$ & 1/3\\
\hline
$\{TH\}$ & 0\\
\hline
$\{HH, TH\}$ & 1/3+0 = 1/3\\
\hline
\vdots & \vdots \\
\hline
$\{HH, HT, TT\}$ & 1/3+1/3+1/3 = 1\\
\hline 
\vdots & \vdots \\
\hline
$\{HH, HT, TH, TT\}$ & 1\\
\hline
\end{tabular}\,.
\end{center}
Similarly, the following probability function is also allowed:
\begin{center}
\begin{tabular}{|c|c|}
\hline \rowcolor{lightgray}
\textbf{event $E$} & $P(E)$\\
\hline
$\emptyset$ & 0 \\
\hline
$\{HH\}$ & 1/8\\
\hline
$\{HT\}$ & 1/8\\
\hline
$\{TT\}$ & 3/8\\
\hline
$\{TH\}$ & 3/8\\
\hline
$\{HH, TH\}$ & 1/8+3/8 = 1/2\\
\hline
\vdots & \vdots \\
\hline
$\{HH, HT, TT\}$ & 1/8+1/8+3/8 = 5/8\\
\hline 
\vdots & \vdots \\
\hline
$\{HH, HT, TH, TT\}$ & 1\\
\hline
\end{tabular}\,.
\end{center}
Notice that the probabilities of events like $\{HH, TH\}$ and $\{HH, HT, TT\}$ are completely determined by the probabilities of the four simple events $\{HH\}$, $\{HT\}$, $\{TH\}$ and $\{TT\}$. While for event $E$, we note that $P(E)$ must be non-negative. We also observe that $P(S) = 1$, and as $S = S\cup \emptyset$, then $P(S) = P(S\cup \emptyset) = P(S) + P(\emptyset) = 1$, from which we deduce that we must have $P(\emptyset) = 0$. The tables shown above are called the distribution tables, and we see that there can be different distribution tables for the same sample space."
Probability,Conditional Probability and Independence,,general description,"If the probability function attached to an experiments must be useful (say to draw some conclusions about events associated to the experiment), we will need to incorporate the features of the experiment as in our pursuit to calculate probability functions."
Probability,Conditional Probability and Independence,,definition,"[Conditional Event]
    Suppose $E$ and $F$ are two events, the conditional event $E\mid F$ - verbalized as ""E given F"" - is the event that ""E happens given that F has already happened"""
Probability,Conditional Probability and Independence,,general description,"Given two events $E$ and $F$ we can consider the following events:
\begin{enumerate}
    \item $E\cap F$: both events $E$ and $F$ happen. 
    \item $E\mid F$: $E$ happens given that $F$ has happened.
    \item $F\mid E$: $F$ happens given that $E$ has happened.
\end{enumerate}
There is an interesting relationship between these events given by"
Probability,Conditional Probability and Independence,,definition,"[Multiplication Principle]
    Suppose $E$ and $F$ are two events then we define:
    $$P(E\cap F) = \begin{cases} P(E)P(F\mid E) \\
    P(F)P(E\mid F)
    \end{cases}$$"
Probability,Conditional Probability and Independence,,general description,"The term $P(F\mid E)$ is called the conditional probability of the event ""F given E"", in fact we use the multiplication principle to formally define conditional proability"
Probability,Conditional Probability and Independence,,definition,"[Conditional Probability]
    Suppose $E$ and $F$ are two events then we define:
    $$P(E\mid F) = \frac{P(E\cap F)}{P(F)} $$"
Probability,Conditional Probability and Independence,,general description,"The multiplication principle informs us that the probability of the simultaneous occurrence of event $E$ and event $F$, that is $P(E\cap F)$, depends not only on information about the individual occurrence (with no additional information about the other event) of $E$ (that is $P(E)$) and $F$ (that is $P(F)$), \textbf{but} also the interaction/influence of how the event $E$ affects the occurrence of event $F$ (given by the conditional probability $P(F \mid E)$) or how the event $F$ affects the occurrence of event $E$ (given by the conditional probability $P(E \mid F)$).
\\

This naturally leads to the notion of independence, which gives the probabilistic description of what it means for the lack of interaction between two events. 
\\"
Probability,Conditional Probability and Independence,,definition,"[Independent Events]
    We say two events $E$ and $F$ are independent if $$P(E\cap F) = P(E) P(F)$$
    Equivalently, $E$ and $F$ are independent if
    $$ P(E\mid F) = E(E) \quad \text{or}\quad  P(F\mid E) = P(F)$$"
Probability,Conditional Probability and Independence,,general description,"Observe that, $P(E \mid F) = E(E)$, tells us that the fact that $F$ happened did not affect the probability of $E$ happening. 
\\


An experiment that can be broken down into a sequence of steps can be represented as tree, where nodes at level $i$ are the outcomes of the $(i-1)$th step, and each node at level $i$ will emanate as many nodes as there are possible outcomes for the $i$th step at that node. Every edge emanating out of a node at level $i$ denotes the conditional event of the outcome at the tail of edge happens given that we are node at the head of the edge. 
\\
A unidirectional path from the top of the tree to one of its leaves will describe one outcome for the experiment. The sample space consists of all possible unidirectional paths from the top of the tree to it's leaves. 
\\
The multiplication principle can be used to assign probabilities to all simple events."
